Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
PGD	9.33029	9.35103	9.425989999999999	9.39603	8.81627	9.126430000000001	9.18895	10.8133	9.86236	9.98576	10.9928	8.607560000000001	10.6781	9.718119999999999	10.9968	10.3344	10.5277	9.80738	10.005	10.1831	10.2074
APITD1-CORT	2.53956	2.77125	2.5947400000000003	2.5622599999999998	2.54393	2.64721	2.32479	2.5428599999999997	2.56566	2.98536	2.49723	2.8959799999999998	2.6109299999999998	2.75927	2.72704	2.6109299999999998	2.7619599999999997	2.4300200000000003	2.6109299999999998	2.41074	2.6719
PEX14	5.05804	5.07339	5.297000000000001	5.115819999999999	5.2641599999999995	5.23249	5.386340000000001	5.20787	5.18067	5.1515	5.29288	5.09411	5.02658	5.2604	5.17694	4.77339	5.246	5.27987	5.01735	4.90995	5.1706
RN7SL614P	5.69906	5.95793	5.39668	5.85107	5.91275	5.88923	6.06232	5.76138	5.430280000000001	6.02501	5.76966	5.9375	5.48982	5.395569999999999	5.70581	5.70329	5.3897	5.70581	5.38574	5.70262	5.610130000000001
TARDBP	7.76749	8.258189999999999	7.86113	7.8426100000000005	8.10643	8.10131	8.080630000000001	7.562760000000001	8.01098	7.24218	7.74172	7.8128	7.69871	8.10105	7.6615	7.74613	7.543839999999999	7.8307199999999995	7.99512	7.45385	7.70988
ANGPTL7	1.9456099999999998	2.18095	2.23018	1.98255	1.86904	1.9924099999999998	1.86904	2.00414	2.19968	1.98646	2.1756900000000003	2.21255	1.9728599999999998	1.9847299999999999	1.66793	2.01687	1.8041599999999998	2.10773	1.80614	1.9847299999999999	1.93655
RNU6-291P	1.10458	1.13063	1.0692	1.11179	1.3449799999999998	1.1169799999999999	0.958515	0.9799889999999999	1.08188	0.9612790000000001	1.2584600000000001	1.06977	1.12466	1.0692	1.19757	0.981389	1.31972	1.1548399999999999	1.0110299999999999	1.04447	0.981389
UBIAD1	6.49409	6.7230300000000005	6.64266	6.5155400000000006	6.57142	6.4501	6.45746	6.18662	6.51733	5.56493	6.18695	6.83559	6.38143	6.43808	6.17972	5.98398	6.04139	6.6064	6.61676	5.9570099999999995	6.490880000000001
PTCHD2	3.7806	3.99325	3.9381699999999995	3.91468	3.7726800000000003	3.8588	3.6013699999999997	3.64941	3.6376800000000005	4.09379	3.9661199999999996	4.05345	3.8588	3.67079	3.90596	4.04515	4.059769999999999	3.31852	4.01651	3.7168300000000003	3.8588
FBXO44	4.668740000000001	4.7562	4.59056	4.66287	4.69284	4.60147	4.75201	4.6203199999999995	4.81625	4.69804	4.66287	4.709230000000001	4.58859	4.63413	4.5637300000000005	4.40265	4.629980000000001	4.926069999999999	4.73324	4.571219999999999	4.73019
FBXO6	5.0416300000000005	4.905069999999999	5.31376	4.79571	5.18232	5.16085	5.09474	7.26262	6.52051	5.1218699999999995	6.779789999999999	5.29322	5.3575	5.26438	6.50866	5.29322	5.67839	5.10024	5.08683	5.100709999999999	5.2141
DRAXIN	4.93316	5.00874	4.922680000000001	4.9973	4.87465	4.8326199999999995	4.9412	4.76423	4.78089	4.86491	4.78722	4.83213	4.770230000000001	4.42842	4.702719999999999	4.70289	4.78613	5.04964	4.15913	4.59785	4.647469999999999
AGTRAP	7.528630000000001	7.320189999999999	7.556780000000001	7.42285	7.01317	7.0121199999999995	7.33471	8.45445	7.92933	7.86327	8.26736	6.96271	8.31495	7.70033	8.805819999999999	8.00272	8.23735	7.63855	7.52309	7.78757	8.13227
C1orf167	3.86735	3.8532800000000003	3.9550300000000003	3.8618300000000003	3.9449099999999997	3.86869	3.9565699999999997	3.8843099999999997	3.8086300000000004	3.89279	3.90498	4.09676	3.7234	3.9318	3.87282	3.8805199999999997	3.90256	3.8862900000000002	3.84746	4.04941	3.7972
CLCN6	5.74946	5.85468	6.06842	5.4234	5.99874	5.77819	5.8078199999999995	5.56844	5.67063	5.461130000000001	5.33206	5.571619999999999	5.72518	5.65948	5.716469999999999	5.44247	5.90749	5.90402	5.62959	5.78296	5.89283
RNU5E-1	4.21934	2.9318400000000002	3.74556	3.54985	3.54175	2.7271	3.707	4.5419	5.12016	5.68454	4.2441	4.10581	4.94225	5.1327300000000005	4.74247	4.1261	5.64145	4.21735	3.4412599999999998	5.68624	4.5193900000000005
PLOD1	6.08948	5.8175	6.0351300000000005	5.70434	5.75793	5.26053	5.62173	6.3535699999999995	6.42656	6.3562	6.31324	5.48669	6.43674	6.01159	6.47561	6.50235	6.231990000000001	6.10379	6.24348	5.7618599999999995	6.07301
MFN2	7.14875	6.952260000000001	7.629860000000001	6.86015	6.83652	6.831639999999999	6.99746	7.7256800000000005	7.306660000000001	7.285989999999999	7.700089999999999	6.835610000000001	7.694439999999999	6.64507	7.7130399999999995	7.64295	7.483410000000001	7.6627600000000005	7.18381	7.75335	7.019010000000001
MIIP	5.873419999999999	5.86987	5.89759	5.74334	5.423780000000001	5.9740400000000005	5.64016	6.5917	6.05175	6.43883	6.19698	6.43714	6.087359999999999	5.59448	6.349	6.36008	6.31701	6.22335	6.15155	6.4031199999999995	6.27789
TNFRSF8	5.24439	5.5177	5.281619999999999	5.56701	5.17981	5.56395	5.04179	5.18388	5.29	5.41856	5.42047	5.16798	4.75387	5.04148	5.10902	5.68026	5.2183	5.32189	5.1860800000000005	5.16976	5.44719
